,mean_abs_shap
P_MCQ__MCQ366B_2.0,0.075827815
P_MCQ__MCQ366B_9.0,0.0
P_MCQ__MCQ366C_2.0,0.0204231
P_MCQ__MCQ366C_9.0,0.0
P_MCQ__MCQ366D_2.0,0.13503489
P_MCQ__MCQ366D_9.0,0.0
P_MCQ__MCQ371A_2.0,0.0
P_MCQ__MCQ371A_9.0,0.0
P_MCQ__MCQ371B_2.0,0.0
P_MCQ__MCQ371B_9.0,0.0
P_MCQ__MCQ371C_2.0,0.020673782
P_MCQ__MCQ371C_9.0,0.0
P_MCQ__MCQ371D_2.0,0.01009855
P_MCQ__MCQ371D_7.0,0.0
P_MCQ__MCQ371D_9.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_2.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_3.0,0.0
P_OCQ__OCD150_Type_of_work_done_last_week_4.0,0.020032398
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_2.0,0.00093597075
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_3.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_4.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_5.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_6.0,0.0
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_7.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_2.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_3.0,0.0023857085
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_4.0,0.0
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_5.0,0.0
P_OHQ__OHQ770_Past_yr_need_dental_but_couldn_t_get_it_2.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_2.0,0.0
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_3.0,0.0015200522
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_4.0,0.0052620275
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_5.0,0.0024755471
P_PAQ__PAQ605_Vigorous_work_activity_2.0,0.0052890014
P_PAQ__PAQ620_Moderate_work_activity_2.0,0.07469325
P_PAQ__PAQ635_Walk_or_bicycle_2.0,0.0
P_PAQ__PAQ650_Vigorous_recreational_activities_2.0,0.0031423068
P_PAQ__PAQ665_Moderate_recreational_activities_2.0,0.0
